entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,hour_of_day,day_of_week,is_cold_start,time_since_last_session_hrs,distance_from_last_km,implied_travel_speed_kmh,failed_auth_entity_15m,failed_auth_ip_15m_distinct,is_new_resource,new_resources_last_10,is_off_hours,device_differs,os_differs,mac_differs,firmware_differs,session_duration_z
USE_dc1110c1,User,2023-01-01 08:19:00,7.200.7.191,US-West,WebPortal,Biometric,373,NORMAL_OP,Windows|36:a9:24:79:8e:f8|v4.6,normal,8,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.3215604719252656
USE_c0e9ab30,User,2023-01-01 08:33:00,209.224.87.90,Asia-East,Database,Token,317,NORMAL_OP,macOS|36:79:55:d0:f8:f6|v5.8,normal,8,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.07595995366716145
USE_6e068097,User,2023-01-01 09:05:00,47.248.75.145,Asia-South,WebPortal,Password,288,NORMAL_OP,EmbeddedOS|e6:41:15:9d:ba:14|v1.0,normal,9,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.051226029002213916
USE_19db3ad0,User,2023-01-01 09:46:00,49.22.42.33,EU-Central,Database,Token,269,NORMAL_OP,Windows|5e:c2:8e:e8:ba:53|v1.6,normal,9,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.1345547762683564
SER_47378190,Service Account,2023-01-01 09:47:00,100.43.21.135,US-East,Database,MFA,152,NORMAL_OP,Android|26:03:51:d8:ae:8e|v5.0,normal,9,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.7492125571966829
USE_2095eef6,User,2023-01-01 10:04:00,4.0.212.212,US-East,VPN,Biometric,228,NORMAL_OP,iOS|66:62:d7:c2:59:9a|v5.8,normal,10,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.3143694414216112
SER_eb1fa9f2,Service Account,2023-01-01 10:50:00,153.128.119.116,US-West,WebPortal,Biometric,253,NORMAL_OP,Windows|06:eb:b3:9c:74:72|v1.8,normal,10,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.20018071567484733
SER_c4b032cc,Service Account,2023-01-01 10:55:00,84.35.174.181,Asia-East,WebPortal,Password,405,NORMAL_OP,Android|44:1c:75:10:a1:cd|v3.9,normal,10,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.6260850260213804
EDG_c84a7b28,Edge Device,2023-01-01 10:58:00,223.15.228.132,Asia-South,WebPortal,MFA,334,NORMAL_OP,Linux|60:d2:7f:88:51:37|v3.7,normal,10,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.1412351669086439
USE_8181a8cc,User,2023-01-01 11:07:00,5.195.169.202,EU-Central,API,Biometric,123,NORMAL_OP,macOS|5e:87:43:b2:23:7d|v5.3,normal,11,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.7748704131555565
SER_47378190,Service Account,2023-01-01 12:05:00,100.43.21.135,US-East,Database,MFA,332,NORMAL_OP,Android|26:03:51:d8:ae:8e|v5.0,normal,12,6,True,2.3,0.0,0.0,0,0,0,1,0,0,0,0,0,0.22926003165411316
USE_83f4a9a9,User,2023-01-01 12:12:00,102.25.2.248,US-East,WebPortal,Password,261,NORMAL_OP,Android|ce:ab:2f:78:9e:73|v2.9,normal,12,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.1696405645909427
USE_abf3e3fc,User,2023-01-01 12:52:00,134.102.23.197,EU-Central,API,Password,232,NORMAL_OP,macOS|74:99:ea:a1:25:04|v2.1,normal,12,6,True,-1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.2968265472603181
