event_id,entity_id,timestamp,anomaly_score,predicted_attack_type,confidence,explanation_text,hour_of_day,day_of_week,is_cold_start,time_since_last_session_hrs,distance_from_last_km,implied_travel_speed_kmh,failed_auth_entity_15m,failed_auth_ip_15m_distinct,is_new_resource,new_resources_last_10,is_off_hours,device_differs,os_differs,mac_differs,firmware_differs,session_duration_z
662,USE_e4855aa1,2023-01-15 09:45:00,1.766274094581604,lateral_movement,1.0,"Flagged by sequence model (Score: 1.77). Matches lateral movement: Accessed new resource 'Database', 1 new resources recently.",9,6,0,26.716666666666665,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.6513236859859944
781,USE_cac5b68c,2023-01-18 01:42:00,1.8213313817977903,impossible_travel,1.0,Flagged by sequence model (Score: 1.82). Matches impossible travel: implied speed 0 km/h over 0 km.,1,2,0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,1.1408854541257765
9994,USE_6e068097,2023-07-29 00:35:00,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 1 distinct entities failed auth from IP 136.126.1.203 in 15m.,0,5,0,1.65,10992.96784651654,6662.40475546457,1,1,1,1,0,1,1,1,1,-2.9456900917818114
10001,USE_9360715f,2023-07-29 01:31:04,1.7476212829351423,credential_stuffing,1.0,Flagged by sequence model (Score: 1.75). Matches credential stuffing: 3 distinct entities failed auth from IP 117.39.78.225 in 15m.,1,5,0,0.9322222222222222,10992.96784651654,11792.218190542177,1,3,0,1,0,1,1,1,1,-2.934562704464589
10003,USE_ac619e63,2023-07-29 01:31:08,1.7476212829351423,credential_stuffing,1.0,Flagged by sequence model (Score: 1.75). Matches credential stuffing: 5 distinct entities failed auth from IP 117.39.78.225 in 15m.,1,5,0,1.7855555555555556,3908.975628393371,2189.220949318005,1,5,0,0,0,1,1,1,1,-3.4058204846346425
10007,USE_b4a69f3c,2023-07-29 02:05:06,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 4 distinct entities failed auth from IP 175.36.64.74 in 15m.,2,5,0,14.768333333333333,12803.922867877813,866.9849588902706,1,4,1,1,0,1,0,1,1,-3.0823874569261513
10008,USE_2095eef6,2023-07-29 02:05:08,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 5 distinct entities failed auth from IP 175.36.64.74 in 15m.,2,5,0,11.702222222222222,13617.321798108962,1163.6526413120075,1,5,1,1,0,1,1,1,1,-2.8268844201467433
10009,USE_ceb81f9d,2023-07-29 02:26:00,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 1 distinct entities failed auth from IP 24.153.84.180 in 15m.,2,5,0,1.8483333333333336,10992.96784651654,5947.5028926149,1,1,1,1,0,1,1,1,1,-2.8401409906487003
10010,USE_e49d681d,2023-07-29 02:26:02,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 2 distinct entities failed auth from IP 24.153.84.180 in 15m.,2,5,0,0.35,12803.922867877813,36582.63676536518,1,2,1,2,0,1,1,1,1,-2.9674022704217564
10011,EDG_ae849217,2023-07-29 02:26:04,1.7476212829351423,credential_stuffing,1.0,Flagged by sequence model (Score: 1.75). Matches credential stuffing: 3 distinct entities failed auth from IP 24.153.84.180 in 15m.,2,5,0,13.284444444444444,12803.922867877813,963.8282520148904,1,3,0,0,0,1,1,1,1,-2.679096085956653
10012,USE_654821d0,2023-07-29 02:26:06,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 4 distinct entities failed auth from IP 24.153.84.180 in 15m.,2,5,0,9.101666666666668,12803.922867877813,1406.766841370937,1,4,1,1,0,1,1,1,1,-3.0870340261095586
10013,USE_2095eef6,2023-07-29 02:26:08,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 5 distinct entities failed auth from IP 24.153.84.180 in 15m.,2,5,0,0.35,12803.922867877813,36582.63676536518,1,5,1,2,0,1,0,1,1,-2.8268844201467433
10014,SER_c4b032cc,2023-07-29 02:39:00,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 1 distinct entities failed auth from IP 152.2.210.205 in 15m.,2,5,0,4.066666666666666,6481.514733812193,1593.8150984784083,1,1,1,1,0,1,1,1,1,-2.9825570109253308
10016,USE_35ebd32d,2023-07-29 02:39:04,2.2476212829351425,credential_stuffing,1.0,Flagged by sequence model (Score: 2.25). Matches credential stuffing: 3 distinct entities failed auth from IP 152.2.210.205 in 15m.,2,5,0,2.351111111111111,6481.514733812193,2756.787930260385,1,3,1,1,0,1,1,1,1,-2.9890856794985283
